Configuration: 0705_1
Duration: 0.400 s
Sample Rate: 50 kHz
ConfigID: 11
Comment: 
MeasurementID: 561
Result: NOK
Date: 11/18/2020 2:01:36 PM
User Comment: 
Index;Time;P Raw;Plasma;T Raw;Temp;BR Raw;BR;AN Power
0;0.000000;0.006;0.000;0.011;0.000;0.013;0.000;3.036
1;0.000020;0.006;0.000;0.013;0.000;0.038;0.000;3.260
2;0.000040;0.006;0.000;0.011;0.000;0.031;0.000;3.139
3;0.000060;0.005;0.000;0.009;0.000;0.015;0.000;3.197
4;0.000080;0.005;0.000;0.011;0.000;0.015;0.000;3.184
5;0.000100;0.006;0.000;0.013;0.000;0.029;0.000;3.185
6;0.000120;0.005;0.000;0.011;0.000;0.027;0.000;3.188
7;0.000140;0.005;0.000;0.011;0.000;0.009;0.000;3.188
8;0.000160;0.006;0.000;0.013;0.000;0.016;0.000;3.186
9;0.000180;0.016;0.000;0.013;0.000;0.048;0.000;3.188
10;0.000200;0.006;0.000;0.009;0.000;0.015;0.000;3.190
11;0.000220;0.005;0.000;0.011;0.000;0.042;0.000;3.188
12;0.000240;0.005;0.000;0.013;0.000;15.090;0.001;3.187
13;0.000260;0.107;0.000;0.013;0.000;13.365;0.003;3.186
14;0.000280;0.166;0.000;0.161;0.000;6.579;0.007;3.190
15;0.000300;0.113;0.000;0.196;0.000;8.252;0.013;3.188
16;0.000320;0.072;0.000;0.203;0.000;8.033;0.019;3.187
17;0.000340;0.103;0.000;0.218;0.000;7.115;0.027;3.189
18;0.000360;0.131;0.000;0.255;0.001;6.606;0.036;3.189
19;0.000380;0.127;0.001;0.276;0.001;6.453;0.045;3.188
20;0.000400;0.126;0.001;0.273;0.001;6.356;0.056;3.188
21;0.000420;0.135;0.001;0.276;0.001;5.986;0.067;3.189
22;0.000440;0.130;0.001;0.262;0.001;5.647;0.079;3.189
23;0.000460;0.102;0.001;0.216;0.002;5.740;0.092;3.188
24;0.000480;0.058;0.001;0.198;0.002;4.958;0.105;3.187
25;0.000500;0.084;0.002;0.225;0.003;5.224;0.119;3.189
26;0.000520;0.106;0.002;0.233;0.003;4.845;0.133;3.189
27;0.000540;0.125;0.002;0.266;0.003;4.774;0.148;3.187
28;0.000560;0.145;0.002;0.379;0.004;5.257;0.163;3.189
29;0.000580;0.136;0.003;0.394;0.004;5.552;0.179;3.189
30;0.000600;0.103;0.003;0.350;0.005;5.061;0.195;3.188
31;0.000620;0.085;0.003;0.313;0.006;5.078;0.212;3.188
32;0.000640;0.124;0.003;0.306;0.006;5.460;0.229;3.189
33;0.000660;0.143;0.004;0.328;0.007;4.834;0.247;3.189
34;0.000680;0.118;0.004;0.341;0.008;4.684;0.266;3.187
35;0.000700;0.125;0.004;0.352;0.008;4.406;0.284;3.186
36;0.000720;0.135;0.005;0.403;0.009;4.724;0.303;3.189
37;0.000740;0.115;0.005;0.392;0.010;4.823;0.322;3.190
38;0.000760;0.079;0.005;0.313;0.011;4.536;0.342;3.186
39;0.000780;0.077;0.006;0.264;0.012;4.594;0.362;3.187
40;0.000800;0.095;0.006;0.275;0.013;4.094;0.382;3.189
41;0.000820;0.126;0.007;0.284;0.014;4.244;0.403;3.188
42;0.000840;0.108;0.007;0.308;0.015;4.730;0.423;3.187
43;0.000860;0.131;0.007;0.361;0.016;5.012;0.445;3.187
44;0.000880;0.147;0.008;0.390;0.017;5.180;0.466;3.188
45;0.000900;0.114;0.008;0.377;0.018;5.493;0.488;3.188
46;0.000920;0.080;0.009;0.330;0.019;5.037;0.510;3.186
47;0.000940;0.113;0.009;0.322;0.020;4.634;0.532;3.188
48;0.000960;0.103;0.010;0.304;0.022;4.499;0.555;3.189
49;0.000980;0.098;0.010;0.249;0.023;4.847;0.578;3.187
50;0.001000;0.106;0.011;0.247;0.024;4.882;0.601;3.187
51;0.001020;0.126;0.011;0.315;0.025;4.770;0.625;3.191
52;0.001040;0.120;0.011;0.353;0.027;4.867;0.648;3.190
53;0.001060;0.130;0.012;0.328;0.028;4.852;0.672;3.186
54;0.001080;0.136;0.012;0.335;0.029;4.667;0.696;3.188
55;0.001100;0.133;0.013;0.344;0.031;4.177;0.721;3.188
56;0.001120;0.146;0.014;0.350;0.032;4.327;0.745;3.188
57;0.001140;0.181;0.014;0.406;0.033;4.514;0.770;3.188
58;0.001160;0.195;0.015;0.515;0.035;4.362;0.795;3.189
59;0.001180;0.181;0.015;0.544;0.036;4.709;0.820;3.189
60;0.001200;0.135;0.016;0.491;0.038;4.664;0.845;3.189
61;0.001220;0.101;0.016;0.421;0.039;4.867;0.870;3.187
62;0.001240;0.129;0.017;0.396;0.041;5.197;0.895;3.189
63;0.001260;0.179;0.018;0.408;0.043;5.255;0.921;3.190
64;0.001280;0.183;0.018;0.401;0.044;5.110;0.947;3.188
65;0.001300;0.145;0.019;0.425;0.046;5.239;0.973;3.188
66;0.001320;0.130;0.019;0.450;0.048;5.103;0.999;3.189
67;0.001340;0.135;0.020;0.456;0.049;5.499;1.025;3.190
68;0.001360;0.139;0.021;0.423;0.051;5.303;1.052;3.188
69;0.001380;0.144;0.021;0.401;0.053;5.101;1.079;3.188
70;0.001400;0.198;0.022;0.423;0.055;5.184;1.106;3.190
71;0.001420;0.186;0.023;0.452;0.057;5.195;1.133;3.191
72;0.001440;0.180;0.023;0.454;0.059;4.898;1.160;3.189
73;0.001460;0.150;0.024;0.454;0.061;5.275;1.188;3.188
74;0.001480;0.134;0.025;0.449;0.063;4.711;1.215;3.191
75;0.001500;0.162;0.026;0.428;0.065;4.590;1.243;3.190
76;0.001520;0.227;0.026;0.430;0.067;4.993;1.271;3.188
77;0.001540;0.203;0.027;0.461;0.069;5.024;1.299;3.189
78;0.001560;0.204;0.028;0.516;0.071;4.891;1.326;3.189
79;0.001580;0.178;0.029;0.527;0.073;4.834;1.354;3.190
80;0.001600;0.188;0.029;0.529;0.075;4.783;1.382;3.189
